,tweet,sentiment,word_count,char_count,avg_word,stopwords,hastags,numerics,upper
95,"#enchantment: &quot;it's like saying, please register. go google.&quot; hahah",1,15,107,6.642857142857143,2,2,0,0
96,"tweet register exclusive passes events, parties + 2 liberty and/or free #sxswpass",1,25,143,4.76,7,2,1,3
97,tim soo's invisible instruments jaw dropping. iphone+wii controller. #lovemusicapi,2,12,99,7.333333333333333,1,2,0,0
98,appears opening pop austin - employees trying hide it. beechwood tables gave away.,1,30,152,4.1,10,1,0,1
99,horror stories women tech: #9to5,1,11,65,5.0,2,2,0,1
100,full #touchingstories presentation:,1,7,60,7.714285714285714,0,2,0,2
101,i'm listening 'congo' os ipanemas via discovr app live,1,18,95,4.333333333333333,6,1,0,0
102,"eventful day,earthquake, tsunami #ipad 2 plus #sxsw..",1,11,72,5.636363636363637,2,2,1,1
103,"design headaches: take two tablets, call panel - excited hear live!",1,22,118,4.409090909090909,3,1,0,2
104,tired waiting line stores? best buy austin announces ipad2 sale today. #sxswinfo,1,18,107,5.0,4,2,0,0
105,smart entrepreneur would set on-line consignment shop help sell outdated ipad1 units,1,22,125,4.7272727272727275,7,1,0,1
106,"on, walked industry party #gsdm &amp; #google austin, tx.",1,17,95,4.647058823529412,4,3,0,3
107,check developer meet sxsw.,2,9,56,4.7,2,1,0,2
108,launching social network? definitely ##sxsw. rumor still it...{link} #googlecircles,1,18,117,5.882352941176471,5,2,0,0
109,anyone know still ipads?,1,9,49,4.555555555555555,2,1,0,1
110,good point! love it. #sxsw: &quot;apple comes cool technology go conferences&quot;,2,22,138,5.318181818181818,7,1,0,2
111,"opening downtown austin pop #sxsw. even begins, wins sxsw",2,19,111,4.894736842105263,2,1,0,3
112,chances buy 2 (unless already got one way)?,1,22,106,3.8636363636363638,9,1,1,1
113,"start - doodles: burning man pac-man beyond, let's ser get ideas sapo",1,22,111,4.090909090909091,7,1,0,1
114,&quot;everyone already one.&quot; anti-theft protection leave laptop go get latte.,1,25,155,5.24,10,1,0,1
115,&quot;lotta hipsters here. could meet guy fedora 2.&quot; assistant stage,1,24,129,4.416666666666667,10,1,0,0
116,"#tech even begins, wins",2,9,52,4.888888888888889,0,2,0,1
117,hear? appleûªs opening temporary #sxsw! (via,2,16,98,5.1875,4,1,0,2
118,folks taking notes sure download dan bricklin's app notetaker. really sweet. thanks,2,23,130,4.909090909090909,6,1,0,0
119,"u? &quot;google launch major social network called circles, possibly today&quot;",1,17,117,5.9411764705882355,3,1,0,0
120,#apple setting pop-up austin (to sell bajillions ipad2s attendees) [brilliant],2,18,118,5.611111111111111,3,2,0,1
121,announces pop-up #sxsw. see take future pop-up stores here: (client),1,20,116,4.85,5,1,0,2
122,vestibule temp-apple (20 min wait) ipad2 at&amp;t 64g -- they've replenished supply!,2,20,118,4.95,5,1,0,0
123,google/bing search smackdown panel giant room enough chairs. hope search &quot;floor-sitting!&quot;,3,21,137,5.571428571428571,9,1,0,1
124,"lots chatter around google's social network, circles -kek",1,11,70,5.454545454545454,1,1,0,2
125,watching talk guy hired jony ive apple. #industrialdesign,1,14,81,4.857142857142857,5,2,0,1
126,sound voice shot exploiting &amp; best buy's 14-day return policy imacs. brilliant.,1,20,120,5.05,3,1,0,1
127,cameron sinclair spearheads japan disaster relief via twitter &amp;,1,16,113,6.125,0,1,0,2
128,tweeting pretty non existent today thanks app #fail - hootsuite epic replacement! #owllove,0,23,139,5.086956521739131,6,3,0,0
129,arrived party. awesome.,2,8,52,5.625,2,1,0,1
130,"#ipad lounge: recharge see #art #ipad show, daily åç austin details",1,19,112,4.947368421052632,4,4,0,1
131,opening pop-up austin (sixth &amp; congress) #ipad2,1,13,83,5.461538461538462,2,2,0,1
132,#virtualwallet #paypal get physical goods cut #apple gets 30% software virtual goods,1,17,106,5.294117647058823,4,4,0,0
133,original products 1 device nuts. #sxsw. eg,3,11,58,4.363636363636363,3,1,1,0
134,2011: novelty #ipad news apps fades fast among digital delegates,1,13,80,5.230769230769231,1,2,0,1
135,"juts time =&gt; group-texting war heats up: fast society launches android app, updates app",2,20,121,5.1,2,1,0,1
136,got party speakeasy. free drinks food coming out!,1,15,81,4.466666666666667,4,1,0,0
137,[just fyi...] breaking: launch major social network called circles...today? via #socialmedia,1,19,140,6.421052631578948,1,2,0,3
138,"crazy big crowds now. store, sxsw",1,10,61,5.2,0,1,0,2
139,woah. dude gets branded tattoo exchange ipad. really. think?,1,23,121,4.714285714285714,4,1,0,2
140,popup,1,6,33,4.666666666666667,1,1,0,1
141,"internet blurs, fades, ûò",1,14,83,5.0,3,1,0,3
142,sitting floor behind guy who's fondling 2 disturbing way.,0,19,95,4.052631578947368,7,1,1,0
143,giving away 2 panel. wish luck!,2,12,56,3.75,4,1,1,0
144,world's largest ipad.,2,6,38,5.5,0,1,0,0
145,version flipboard hopefully summer #sxflip,2,10,67,5.8,3,2,0,0
146,setting #gsdm party. going a-ma-zing. check events sxsurrogates.com come out.,2,23,127,4.7727272727272725,9,2,0,0
147,calvin geek charlie sheen goddesses. @schmittastic #google,1,18,123,5.888888888888889,5,2,0,2
148,lonely planet's free guide austin:,1,9,57,5.444444444444445,1,1,0,0
149,"launch major social network called circles, possibly today via",1,19,122,5.473684210526316,2,1,0,2
150,#apple #hp 'popping in' #sxsw; setting temp sites: #austin #atx #austinbusiness,1,17,106,5.294117647058823,5,6,0,2
151,launching products,1,11,64,4.909090909090909,3,1,0,3
152,seated turkey bowl; armadillo &amp; kill list sxxpress passes acquired; could buy ipad.,2,20,114,4.75,5,1,0,2
153,made press room got swag registered 2. hopefully get meet mike tyson,1,25,126,4.08,9,1,0,0
154,still use tweetie mac &amp; i'm running leopard. i'll pariah #sxsw! wish least android! something make cool.,2,29,142,3.9310344827586206,7,1,0,9
155,might launch circles today - #mobile491,1,11,63,5.3,1,2,0,0
156,next life i'm coming back 2. women can't keep hands thing.,2,20,96,3.85,6,1,0,1
157,win 2 sxsw via !,2,11,49,3.5454545454545454,2,1,1,1
158,way android party hewlitt packard badass thing goiing free food booze music. love,1,28,137,3.9285714285714284,12,1,0,2
159,"hootsuite mobile ~ updates iphone, blackberry &amp; android: shared paulû_ #shared",1,16,107,5.75,3,2,0,1
160,"tweeting, riding thru 210!",2,7,41,5.0,1,1,0,0
161,setup demo restaurant page. sign download app check &amp; say hi #sxswi,2,26,131,4.076923076923077,9,2,0,1
162,yes! updated app song info 24/7 stream +others also live video streaming,2,20,121,5.1,2,1,0,3
163,"2 hands, exquisite.",2,12,54,3.5833333333333335,7,1,1,0
164,best schwag i've seen battery charger iphone. get one?!?!,2,19,100,4.315789473684211,6,1,0,2
165,#apple open pop time #ipad2 sales,1,16,80,4.0625,5,3,0,2
166,"decided need ipad. #usguys - agree, do!",2,15,73,3.933333333333333,2,2,0,3
167,"yup. woke finished recharging. means got enough sleep last night, right?",1,21,119,4.714285714285714,3,1,0,3
168,platform concertgoers launches android app time sxsw -,1,14,85,5.142857142857143,3,1,0,1
169,server challenge huge hit #sxsw! come booth 400 try hand. win 4 bottle opener case beating 2 mins.,1,29,142,3.9310344827586206,8,1,3,1
170,anyone find makeshift #apple yet?,2,9,52,4.888888888888889,2,2,0,1
171,still 2's short lines.,2,11,57,4.2727272727272725,2,1,0,1
172,"according google's marissa mayer, future location: augmented reality, contextual discovery, making smartphones smarter. #fb",1,17,135,7.0,2,2,0,0
173,"money, money, money ....#apple heads #sxsw, sets temporary austin via",1,16,100,5.3125,3,1,0,1
174,"&quot;oh #@mention goes search!.&quot; watch google, seems coming #launch",1,16,114,5.764705882352941,5,3,0,0
175,dawn's app week early help prep #sxsw:,2,18,86,3.8333333333333335,7,1,0,2
176,#seattle peeps today? replacement hand - i'm back action!,2,18,94,4.277777777777778,6,2,0,1
177,"[on iphone, mute tags, people, conversationsû_] &quot;so mobile #notatsxsw &quot; [rt",1,18,128,6.166666666666667,4,2,0,2
178,"discovered conversation icebreaker: &quot;hey, 2? yes is...&quot; #social",2,18,113,5.333333333333333,5,2,0,1
179,rumor: opening temporary downtown austin 2 launch,1,26,137,4.3076923076923075,9,1,1,2
180,great blog latest news ... like opening #apple store? #sxsw2011,2,21,112,4.380952380952381,7,3,0,1
181,#bt &quot;having really great social search probably good idea #google&quot;,2,20,128,5.45,5,3,0,4
182,here's personal guide austin,1,10,62,5.3,3,1,0,0
183,open temporary friday scarbrough building 6th congress,1,18,114,5.388888888888889,5,1,0,0
184,"rumor monger, good read å_ #google #circles preview via #socbiz #fb",2,25,137,4.52,8,5,0,0
185,realllllllly need upgrade phone haha 10 apps youûªll probably need use,2,21,122,4.857142857142857,3,1,1,3
186,"likes pay them. long gadget liked many, closed system work. #pnid",1,26,132,4.115384615384615,10,2,0,1
187,spotted #sxsw: man need (2?) ûò #sxswi,2,13,63,3.923076923076923,4,2,0,2
188,#piday #google booth!,1,8,45,4.75,2,3,0,0
189,thanks free drinks google! (@mention speakeasy w/ 47 others),2,14,82,5.3076923076923075,2,1,1,0
190,cool! open temporary sxsw,2,10,56,4.7,2,1,0,1
191,"prefer news iphone, droid, apps that. &amp; mobile apps now.",2,25,140,4.64,8,1,0,1
192,listening australian knob (celebrity journalist) shoot (and re-shoot re-shoot) vid meeting celebs,1,21,139,5.666666666666667,7,1,0,1
193,3 apps we'll using south southwest interactive #sxswi,1,19,115,5.105263157894737,1,2,1,3
194,"apparently, &quot;ad preferences&quot; see thinks like. #seenocreepy",1,16,118,6.4375,6,2,0,0
195,launching check service providing deals #fmsignal #sxswi,1,16,103,5.5,3,3,0,2
196,coyneûªs #sxsw. hereûªs keep they're road,1,23,130,4.695652173913044,12,1,0,1
197,"opens tech talk whore pcs. right crowd, dig! -carrie",1,20,109,4.5,6,1,0,0
198,game play swsx... spot non electronics.,1,11,59,4.454545454545454,2,1,0,2
199,"hoot blog post:hootsuite mobile #sxsw~updates iphone,blackberry,android",1,12,102,7.583333333333333,2,1,0,1
200,100 line pop-up store; everyone waiting ipads. first guy arrived 6:30am (36 degrees then). badges everywhere,1,25,150,5.04,4,1,1,1
201,evolved novelty game essential utility. via @indysaha,1,18,123,5.888888888888889,4,1,0,0
202,"goggles + location could tell you, example, history building looking at. #augmentedreality",2,21,125,5.25,6,2,0,0
203,alive loving it! great talks jonathan dahl #minimalistprogramming google's marissa mayer #marissagoogle -,2,18,133,6.444444444444445,3,3,0,0
204,great recap seemingly great session: relive wonder v bing panel:,2,21,118,4.666666666666667,6,1,0,1
205,facebook killers - circles announced sxsw interactive festival #google,1,15,99,5.666666666666667,3,2,0,1
206,2 thanks #fxsw,2,11,52,3.8181818181818183,4,2,1,0
207,/@mention grab latest #sxsw! #saytextson!,1,9,68,6.666666666666667,2,2,0,1
208,"heads #sxsw, sets temporary austin",1,13,74,4.769230769230769,3,1,0,2
209,"good q ûï@mention purchased 2 #sxsw, see ppl buying white one. why? nice frame presentations? reading?û",1,24,139,4.833333333333333,5,1,1,3
210,"even begins, #apple wins",2,12,71,5.0,1,2,0,2
211,#ogilvy au podcast channel open bizness itunes. subscribe daily updates,1,18,106,4.944444444444445,5,2,0,2
212,getting flash,2,13,68,4.666666666666667,3,1,0,0
213,anyone wanna bring back windows foam 7? #microsoft,1,14,76,4.5,4,2,0,1
214,"oh, oh, oh! come badge?",2,13,69,4.384615384615385,3,1,0,0
215,4 valuable apps; top critical tasks managed | uber.la &lt; day,1,19,104,4.526315789473684,2,1,1,0
216,"haha, serving pies booth 3/14 1:59 pm.",1,12,61,4.166666666666667,3,1,0,0
217,"sets 5,000-square-foot temporary sell ipads, test potentialû_ #socialmedia #ipad",1,17,119,6.0588235294117645,3,3,0,1
218,opening temporary downtown austin &amp; 2 launch. source: statesman.com,1,20,117,5.157894736842105,5,1,1,1
219,line ipad2 pop outlandish entire week.,2,19,92,4.111111111111111,8,1,0,0
220,awwww yeah!!! congrats winning last #ipad case boyfriend aw :) #cbatsxsw,2,21,126,5.0476190476190474,5,3,0,2
221,"stacks #ipad2's waiting bought #sxsw. got mine, hassle all. handled perfectly",2,21,115,4.523809523809524,7,2,0,1
222,"yay! ûï@mention flipboard's next platform iphone, ceo says #sxswû",2,14,92,5.642857142857143,3,1,0,2
223,&quot;no reason apple's continued survival existence god&quot; - #enchantment #sxswi,0,18,122,6.176470588235294,5,3,0,1
224,marissa mayer: connect digital &amp; physical worlds mobile -,1,15,98,5.6,1,1,0,1
225,"circles' looms, google's nerds 'get' social? | via",1,15,95,5.4,0,1,0,0
226,"photo: far, best accessory ipad. followed closely margarita. ;-)",2,17,95,4.647058823529412,5,1,0,0
227,"started planning last night official app...it's solid resource, still comes short scheduling.",2,21,129,5.190476190476191,7,1,0,0
228,"launch major social network called circles, possibly today",1,16,98,5.533333333333333,1,1,0,1
229,check coyne pr updates via,1,10,57,4.8,2,1,0,1
230,win ipad2 signing here: #wantlet,1,14,78,4.642857142857143,3,2,0,2
231,downtown austin open til midnight.,1,10,64,5.5,0,1,0,1
232,&quot;apple likes pay them. that's likes.&quot; - barry diller (@mention acc - ballroom d) [pic]:,1,24,143,5.0,4,1,0,4
233,"cnn launch &quot;tv everywhere&quot; service mobile, tv computers: via",1,16,110,5.9375,3,1,0,3
234,apps keep grooving 2011 | via,2,16,86,4.733333333333333,3,1,1,1
235,. double fisting keynote #apple,1,12,72,5.083333333333333,2,2,0,1
236,#sxsw: #indieauthors: sanders: &quot;one author talked technology stories. facebook/iphone showing stories?&quot;,1,18,144,7.055555555555555,6,2,0,0
237,moose tracker - discusses importance location mobile.,1,15,94,5.333333333333333,4,1,0,1
238,wish could go head 1pm cst today win vip access acoustic solo set tonight,1,25,120,3.84,8,1,0,3
239,÷¼ what? ÷_ ã_ #edchat #musedchat #sxswi #classical #newtwitter,1,11,79,6.2727272727272725,0,6,0,1
240,"taking flight away big apple's nyc nest: barely hatched, startups take flight sxsw #startups",1,19,114,5.333333333333333,2,2,0,3
241,false alarm could blushing? launch major social network called circles,1,20,123,5.2,3,1,0,1
242,crashed front pop-up. #bestworstthingever,3,9,66,6.444444444444445,2,2,0,0
243,great panel w/guys fr &amp; hotpot! social recs def end recs. #discotalk #sloanxsw,2,23,146,5.391304347826087,3,3,0,1
244,"ha.ha. news: yahoo.com loosing search traffic site, google.com. doubt last tho w/ weird name.",1,23,134,4.869565217391305,5,1,0,2
245,puts popup hawk 2. think they'll sell one two?,2,19,87,4.0588235294117645,3,1,0,1
246,&quot;p-a-r-t-y-i-n-g&quot; gsd&amp;m google.....sitting tree #gsdm,1,13,103,7.5,3,2,0,1
247,"&quot;if there's one thing sxsw good for, flash mobs hive-think.&quot; wins. again. #ipad2",2,22,142,5.5,3,2,0,2
248,google: 40% map usage mobile. seeing demo version mobile maps. nice!,2,18,92,4.166666666666667,5,1,0,1
249,"lol u r gadgetzilla! fun! festival time. omg i'm scared! got netbook, #ipad &amp; droid!",2,21,119,4.714285714285714,2,2,0,3
250,"quote day interface design: &quot;...if relatable, discoverable.&quot; #ipad #digital",1,15,110,6.4,4,3,0,1
251,mingly tv day giveaway! register win #winning,1,15,84,4.666666666666667,3,2,0,3
252,opening temp friday 6th &amp; congress,1,12,73,5.166666666666667,2,1,0,0
253,best thing i've heard weekend &quot;i gave 2 money #japan relief. need,2,26,135,4.230769230769231,6,2,1,4
254,ran temporary amy,1,14,83,5.0,5,1,0,0
255,"could big&gt;&gt;#google launch major #social network called #circles, possibly today - #tech",1,17,116,5.882352941176471,2,4,0,0
256,going #sxsw? find &amp; could win tech prizes #ipad &amp; #iphone cases!,1,24,130,4.6521739130434785,7,3,0,2
257,"tried initiate carpooling ridonkulous taxi line, geeks silent. bet everyone would app it.",1,26,140,4.423076923076923,10,1,0,1
258,"here's free sampler, celebrate year, including barton hollow: / nice!",1,18,113,5.333333333333333,3,1,0,2
259,food4thought...juxtaposed rocking; lybian rebels thwarted; gorgeous day la &amp; japan reeling,2,21,131,5.285714285714286,8,1,0,3
260,win free 2 webdoc.com,1,10,52,4.3,1,1,1,2
261,ironic tee usurped 2 hipster/geek/start-up chic fashion item year's,2,22,125,4.7272727272727275,8,1,1,2
262,novelty news apps fades fast among delegates -,0,14,79,4.714285714285714,2,1,0,1
263,android party ... (@mention lustre pearl bar w/ 63 others),1,12,71,5.0,0,1,1,0
264,design like design 101 class. someone give talk assume ditch previous experience,1,27,146,4.444444444444445,10,1,1,1
265,"&quot;google products need condensed&quot;, #merissa #mayor conference 2011",3,14,98,6.538461538461538,3,3,1,1
266,yet walk conference room look like ad. think nothing else.,0,26,135,4.230769230769231,10,1,0,3
267,ehphone. available. canada. #apple #aphone #canada,1,11,74,5.818181818181818,1,4,0,1
268,"#ipad lounge - free daily - free coffee, #ipad #art. recharge. refresh åç austin details",2,20,117,4.9,2,4,0,0
269,"queueing ipads instead partying. honestly, geeks, get grip! 2 takes [video] -",1,22,125,4.7272727272727275,3,1,1,3
270,mayer making clear going straight foursquare &amp; gowalla hotpot.,1,17,109,5.470588235294118,5,1,0,0
271,mass google-zation (ranking /indexing educational assets) vs. lost sea uncatalogued materials present #futureofed #gsdm,1,20,140,6.05,4,3,0,1
272,updated npr music app song info songs 24/7 &amp; live video streaming time,2,24,130,4.458333333333333,5,1,0,3
273,disgusted iphone's battery life. already 11% 3:30 pm blackberry going strong.,0,20,114,4.75,8,1,0,0
274,average maps sees 40% users come mobile devices. becoming connected (@mention #donline ^dk,1,22,130,4.954545454545454,5,2,0,2
275,packed house google/bing q&amp;a search rankings. oh: &quot;i'm hope catfight.&quot; #qagb,2,16,110,5.9375,4,2,0,1
276,good morning everybody #ipad 2 takes [video]: via mashable #apple,2,13,88,5.285714285714286,0,3,1,2
277,great meet meetup! post medical apps #sxswh #hcsm,1,21,122,4.857142857142857,6,3,0,0
278,"phones around blackberry, android distant third.",1,14,81,4.857142857142857,5,1,0,0
279,going #sxsw? checkin friends youûªre austin location-based apps. #iphone,1,18,120,5.722222222222222,6,2,0,2
280,gsdm party hook!,2,10,48,4.333333333333333,3,1,0,2
281,social network: circles coming today #sxsw?,1,11,62,5.777777777777778,1,1,0,0
282,"available today, mobile apps #iphone #android #blackberry #windowsmobile w/ facebook. info:",1,17,126,6.470588235294118,2,5,0,1
